code,name
IVN,ICE-NYMEX Spreads
ICS,ICE Spreads
SRJ,Sarajevo Stock Exchange
BDS,BOAT - MIFID Aggregator Feed
UDA,US Department of Agriculture
NFX,NYFIX Euro Millennium
MTR,MTS Austria
MQI,EuroMTS Quasi Government Market
MTG,MTS Germany
MTU,MTS Spain
MTI,MTS Ireland
MTD,MTS Denmark
MTW,MTS Poland
MTL,MTS Finland
MTQ,MTS EuroCredit
MTK,MTS Greece
MTO,NewEuroMTS
CLS,MTS Cedulas
LQN,LiquidNet
MSB,Municipal Securities Rulemaking Board - MSRB
GSU,Guangxi Sugar Exchange
TCM,Triact
BBK,Blockbook
OMG,Omega - Candian ATS
ALP,Alpha - Canadian ATS
CXC,Instinet Chi-X Canada- Canadian ATS
CTR,Cantor CO2E
MAN,MF Global (Man Financial Global )
EVO,Evolution Markets
TUB,Tullett Prebon
NRC,Nuclear Regulatory Commission
CSX,Cayman Islands Stock Exchange
TRA,Tradition Financial Services
GFI,GFI
MGS,Mongolian Stock Exchange
CEI,CMIE
YDS,Cross-market Data Service (alternative)
MCL,Montreal Climate Exchange
TRQ,Turquoise
QXP,Pink OTC Markets Inc - Premier QX
EQD,Equiduct
QXI,Pink OTC Markets Inc - International Premier QX
QXR,Pink OTC Markets Inc - Prime QX
QXE,Pink OTC Markets Inc - International Prime QX
PKC,Pink OTC Markets Inc - (Current Information)
PKL,Pink OTC Markets Inc - (Limited Information)
RTF,RUSSIAN TRADING SYSTEM - RTF
PKN,Pink OTC Markets Inc - (No Information)
SEE,Shanghai Steel Electronic Exchange
GRN,Green Exchange
SWS,SWISSIX
TGX,TRIAXDAQ ICS S.A
FGT,FTSE ET50 ICW
FGE,FTSE4Good Europe ICW
FGG,FTSE4Good Global ICW
FGS,FTSE4Good US ICW
FGC,FTSE ST Constituents R/T (SGX subscribers only)
FTC,STI Constituents R/T (SGX subscribers only)
EIM,EURONEXT MARKET INDICES
EIV,EURONEXT VOLATILITY INDICES
EIS,EURONEXT STRATEGY INDICES
SWI,SWX INDICES
EN1,EURONEXT CASH BBO1
TD3,TURKISH DERIVATIVES EXCHANGE LEVEL 3
FGK,FTSE4Good UK ICW
ELB,ELBIS Polish Power Market
TSA,TSO East EU Power Transmission Auction
PSO,PSE Polish Power Market
OTZ,OTE Czech Power Market
IEU,Intercontinental Exchange Europe
IUS,Intercontinental Exchange US
ICA,Intercontinental Exchange Canada
EXR,EUREX REPO EUR
EXS,EUREX REPO -GERMANY/SWITZERLAND
NQX,NASDAQ OMX EUROPE (NEURO)
BTE,BATS TRADING EUROPE
IDX,Indonesia Stock Exchange
ARG,ARGUS
AXS,AXS MARINE
IMX,IMAREX
MFO,MFAO ( Mercado de Futuros Aceite de Oliva)
NGY,Next Generation Energy
NEE,New Edge Electricity
BGC,BGC Partners
